Artista,Cancion,Album,Año,Genero,Duracion
Ace of Base,Donnie,Flowers,1998,Pop,4:39
Ace of Base,Cruel Summer (Big Bonus Mix),Flowers,1998,Pop,4:06
Ace of Base,Unspeakable,Da Capo,2002,Pop,3:14
Ace of Base,Beautiful Morning,Da Capo,2002,Pop,3:00
Ace of Base,Remember the Words,Da Capo,2002,Pop,3:42
Ace of Base,Da Capo,Da Capo,2002,Pop,3:11
Ace of Base,World Down Under,Da Capo,2002,Pop,3:34
Ace of Base,Ordinary Day,Da Capo,2002,Pop,3:23
Ace of Base,Wonderful Life,Da Capo,2002,Pop,4:15
Ace of Base,Show Me Love,Da Capo,2002,Pop,3:43
Ace of Base,What's the Name of the Game,Da Capo,2002,Pop,3:03
Ace of Base,Change With the Light,Da Capo,2002,Pop,3:37
Ace of Base,Hey Darling,Da Capo,2002,Pop,3:17
Ace of Base,The Juvenile,Da Capo,2002,Pop,3:44
Ace of Base,C'est La Vie,,,,3:27
Ace of Base,Love in December,,,,4:00
,,,,,
Agua Viva,,,,,0
Agua Viva,INTRO THEME,,,,
Agua Viva,Amigo,,2000,,
Agua Viva,Amor,,2000,,
Agua Viva,Carrera,,2000,,
Agua Viva,Economía,,2001,,
Agua Viva,Equipo,,2001,,
Agua Viva,Fiesta,,2000,,
Agua Viva,Gracias,,2000,,
Agua Viva,Juego,,2000,,
Agua Viva,Miedo,,2000,,
Agua Viva,Navidad,,2000,,
Agua Viva,Papas,,2001,,
Agua Viva,Pascua,,2000,,
Agua Viva,Pelea,,2000,,
Agua Viva,Perdona,,2000,,
Agua Viva,Sabiduría,,2000,,
Agua Viva,Salud,,2001,,
Agua Viva,Salvador,,2000,,
Agua Viva,Sensillo,,2001,,
Agua Viva,Sonreir,,2000,,
Agua Viva,Tesoro,,2000,,
Agua Viva,Unknown named song,,2001,,
Agua Viva,FINAL THEME,,,,
"Agua Viva is a children educational movie produced by Christian Broadcasting Network and broadcasted in all Latin America as well as Spain and Romania where I watched it in 2003-2004. 28 episodes produced in 2000 and another 13 episodes in 2001, each episode having 3 musical sections. Did anybody know in which country was produced?",,,,,
,,,,,
Alan Jackson,,,,,0
Alan Jackson,Ace of Hearts,Here In the Real World,1990,Country,3:04
Alan Jackson,Here In the Real World,Here In the Real World,1990,Country,3:36
Alan Jackson,Blue Blooded Woman,Here In the Real World,1990,Country,2:14
Alan Jackson,Wanted,Here In the Real World,1990,Country,2:57
Alan Jackson,Chasin' That Neon Rainbow,Here In the Real World,1990,Country,3:05
Alan Jackson,She Don't Get the Blues,Here In the Real World,1990,Country,2:46
Alan Jackson,I'd Love You All Over Again,Here In the Real World,1990,Country,3:10
Alan Jackson,Dog River Blues,Here In the Real World,1990,Country,2:20
Alan Jackson,Home,Here In the Real World,1990,Country,3:18
Alan Jackson,Short Sweet Ride,Here In the Real World,1990,Country,2:29
Alan Jackson,Don't Rock the Jukebox,Don't Rock the Jukebox,1991,Country,2:53
Alan Jackson,That's All I Need to Know,Don't Rock the Jukebox,1991,Country,3:46
Alan Jackson,Dallas,Don't Rock the Jukebox,1991,Country,2:45
Alan Jackson,Midnight In Montgomery,Don't Rock the Jukebox,1991,Country,3:47
Alan Jackson,Love's Got a Hold On You,Don't Rock the Jukebox,1991,Country,2:54
Alan Jackson,Someday,Don't Rock the Jukebox,1991,Country,3:17
Alan Jackson,Just Playin' Possum,Don't Rock the Jukebox,1991,Country,2:55
Alan Jackson,From a Distance,Don't Rock the Jukebox,1991,Country,3:38
Alan Jackson,Walkin' the Floor Over Me,Don't Rock the Jukebox,1991,Country,2:25
Alan Jackson,Working Class Hero,Don't Rock the Jukebox,1991,Country,3:15
Alan Jackson,Chattahoochee,A Lot About Livin' (And a Little 'Bout Love),1992,Country,2:28
Alan Jackson,She's Got the Rhythm (And I Got the Blues),A Lot About Livin' (And a Little 'Bout Love),1992,Country,2:24
Alan Jackson,Tonight I Climbed the Wall,A Lot About Livin' (And a Little 'Bout Love),1992,Country,3:30
Alan Jackson,I Don't Need the Booze (To Get a Buzz On),A Lot About Livin' (And a Little 'Bout Love),1992,Country,3:15
Alan Jackson,(Who Says) You Can't Have It All,A Lot About Livin' (And a Little 'Bout Love),1992,Country,3:29
Alan Jackson,Up to My Ears in Tears,A Lot About Livin' (And a Little 'Bout Love),1992,Country,2:54
Alan Jackson,Tropical Depression,A Lot About Livin' (And a Little 'Bout Love),1992,Country,2:57
Alan Jackson,She Likes It Too,A Lot About Livin' (And a Little 'Bout Love),1992,Country,2:50
Alan Jackson,If It Ain't One Thing (It's You),A Lot About Livin' (And a Little 'Bout Love),1992,Country,3:52
Alan Jackson,Mercury Blues,A Lot About Livin' (And a Little 'Bout Love),1992,Country,3:38
Alan Jackson,Honky Tonk Christmas,Honky Tonk Christmas,1993,Country,2:52
Alan Jackson & Alison Krauss,The Angels Cried,Honky Tonk Christmas,1993,Country,2:51
Alan Jackson,If We Make It Through December,Honky Tonk Christmas,1993,Country,2:44
Alan Jackson,If You Don't Wanna See Santa Claus Cry,Honky Tonk Christmas,1993,Country,3:12
Alan Jackson,I Only Want You for Christmas,Honky Tonk Christmas,1993,Country,3:20
Alan Jackson,Merry Christmas to Me,Honky Tonk Christmas,1993,Country,2:52
Alan Jackson,A Holly Jolly Christmas,Honky Tonk Christmas,1993,Country,2:14
Alan Jackson & Keith Whitley,There's a New Kid In Town,Honky Tonk Christmas,1993,Country,4:08
Alan Jackson & The Chipmunks,Santa's Gonna Come In a Pickup Truck,Honky Tonk Christmas,1993,Country,4:08
Alan Jackson,Please Daddy (Don't Get Drunk This Christmas),Honky Tonk Christmas,1993,Country,3:21
Alan Jackson,Summertime Blues,Who I Am,1994,Country,3:12
Alan Jackson,Livin' on Love,Who I Am,1994,Country,3:49
Alan Jackson,Hole in the Wall,Who I Am,1994,Country,3:33
Alan Jackson,Gone Country,Who I Am,1994,Country,4:20
Alan Jackson,Who I Am,Who I Am,1994,Country,2:46
Alan Jackson,You Can't Give Up on Love,Who I Am,1994,Country,3:06
Alan Jackson,I Don't Even Know Your Name,Who I Am,1994,Country,3:50
Alan Jackson,Song for the Life,Who I Am,1994,Country,4:32
Alan Jackson,Thank God for the Radio,Who I Am,1994,Country,3:19
Alan Jackson,All American Country Boy,Who I Am,1994,Country,3:18
Alan Jackson,Job Description,Who I Am,1994,Country,4:42
Alan Jackson,If I Had You,Who I Am,1994,Country,3:33
Alan Jackson,Let's Get Back to Me and You,Who I Am,1994,Country,2:52
Alan Jackson,Little Bitty,Everything I Love,1996,Country,2:38
Alan Jackson,Everything I Love,Everything I Love,1996,Country,3:07
Alan Jackson,Buicks to the Moon,Everything I Love,1996,Country,2:37
Alan Jackson,Between the Devil and Me,Everything I Love,1996,Country,4:21
Alan Jackson,There Goes,Everything I Love,1996,Country,3:55
Alan Jackson,A House with No Curtains,Everything I Love,1996,Country,3:25
Alan Jackson,Who's Cheatin' Who,Everything I Love,1996,Country,4:01
Alan Jackson,Walk On the Rocks,Everything I Love,1996,Country,3:30
Alan Jackson,Must've Had a Ball,Everything I Love,1996,Country,3:34
Alan Jackson,It's Time You Learned About Good-Bye,Everything I Love,1996,Country,3:13
Alan Jackson,Right On the Money,High Mileage,1998,Country,3:49
Alan Jackson,Gone Crazy,High Mileage,1998,Country,3:50
Alan Jackson,Little Man,High Mileage,1998,Country,4:27
Alan Jackson,What a Day Yesterday Was,High Mileage,1998,Country,3:46
Alan Jackson,Hurtin' Comes Easy,High Mileage,1998,Country,3:01
Alan Jackson,I'll Go on Loving You,High Mileage,1998,Country,3:57
Alan Jackson,Another Good Reason,High Mileage,1998,Country,4:27
Alan Jackson,A Woman's Love,High Mileage,1998,Country,3:52
Alan Jackson,Dancin' All Around It,High Mileage,1998,Country,2:56
Alan Jackson,Amarillo,High Mileage,1998,Country,4:11
Alan Jackson,Pop a Top,Under the Influence,1999,Country,3:05
Alan Jackson,Farewell Party,Under the Influence,1999,Country,4:07
Alan Jackson,Kiss an Angel Good Mornin',Under the Influence,1999,Country,2:05
Alan Jackson,Right in the Palm of Your Hand,Under the Influence,1999,Country,3:39
Alan Jackson,The Blues Man: A Tribute to Hank Williams Jr.,Under the Influence,1999,Country,7:05
Alan Jackson,Revenooer Man,Under the Influence,1999,Country,2:33
Alan Jackson,My Own Kind of Hat,Under the Influence,1999,Country,3:22
Alan Jackson,She Just Started Liking Cheatin' Songs,Under the Influence,1999,Country,2:43
Alan Jackson,The Way I Am,Under the Influence,1999,Country,3:05
Alan Jackson,It Must Be Love,Under the Influence,1999,Country,2:51
Alan Jackson,Once You've Had the Best,Under the Influence,1999,Country,4:11
Alan Jackson & Jimmy Buffett,Margaritaville,Under the Influence,1999,Country,4:15
Alan Jackson,Meat and Potato Man,When Somebody Loves You,2000,Country,2:28
Alan Jackson,When Somebody Loves You,When Somebody Loves You,2000,Country,3:27
Alan Jackson,The Thrill Is Back,When Somebody Loves You,2000,Country,2:44
Alan Jackson,WWW.Memory,When Somebody Loves You,2000,Country,2:34
Alan Jackson,Where I Come From,When Somebody Loves You,2000,Country,4:02
Alan Jackson,I Still Love You,When Somebody Loves You,2000,Country,3:19
Alan Jackson,Life or Love,When Somebody Loves You,2000,Country,2:30
Alan Jackson,A Love Like That,When Somebody Loves You,2000,Country,3:28
Alan Jackson,It's Alright to Be a Redneck,When Somebody Loves You,2000,Country,2:44
Alan Jackson,Maybe I Should Stay Here,When Somebody Loves You,2000,Country,3:32
Alan Jackson,Three Minute Positive Not Too Country Up-Tempo Love Song,When Somebody Loves You,2000,Country,3:02
Alan Jackson,Drive (For Daddy Gene),Drive,2002,Country,4:02
Alan Jackson,A Little Bluer Than That,Drive,2002,Country,2:54
Alan Jackson,Bring on the Night,Drive,2002,Country,4:03
Alan Jackson,Work in Progress,Drive,2002,Country,4:07
Alan Jackson,The Sounds,Drive,2002,Country,3:23
Alan Jackson & George Strait,Designated Drinker,Drive,2002,Country,3:50
Alan Jackson,Where Were You (When the World Stopped Turning),Drive,2002,Country,5:05
Alan Jackson,That'd Be Alright,Drive,2002,Country,3:41
Alan Jackson,Once in a Lifetime Love,Drive,2002,Country,3:26
Alan Jackson,When Love Comes Around,Drive,2002,Country,3:05
Alan Jackson,I Slipped and Fell in Love,Drive,2002,Country,2:55
Alan Jackson,First Love,Drive,2002,Country,3:09
Alan Jackson,Where Were You (When the World Stopped Turning) [Live],Drive,2002,Country,5:47
Alan Jackson,Have Yourself a Merry Little Christmas,Let It Be Christmas,2002,Country,2:58
Alan Jackson,Winter Wonderland,Let It Be Christmas,2002,Country,2:18
Alan Jackson,"O Come, All Ye Faithful",Let It Be Christmas,2002,Country,3:18
Alan Jackson,Santa Claus Is Comin' to Town,Let It Be Christmas,2002,Country,2:42
Alan Jackson,The Christmas Song,Let It Be Christmas,2002,Country,3:52
Alan Jackson,Silent Night,Let It Be Christmas,2002,Country,3:47
Alan Jackson,Let It Be Christmas,Let It Be Christmas,2002,Country,4:11
Alan Jackson,Jingle Bells,Let It Be Christmas,2002,Country,2:49
Alan Jackson,White Christmas,Let It Be Christmas,2002,Country,3:18
Alan Jackson,Silver Bells,Let It Be Christmas,2002,Country,3:35
Alan Jackson,Away in a Manger,Let It Be Christmas,2002,Country,2:49
Alan Jackson,Too Much of a Good Thing,What I Do,2004,Country,3:08
Alan Jackson,Rainy Day In June,What I Do,2004,Country,4:40
Alan Jackson,USA Today,What I Do,2004,Country,3:24
Alan Jackson,If Love Was a River,What I Do,2004,Country,3:52
Alan Jackson,If French Fries Were Fat Free,What I Do,2004,Country,4:13
Alan Jackson,You Don't Have to Paint Me a Picture,What I Do,2004,Country,3:43
Alan Jackson,There Ya Go,What I Do,2004,Country,3:12
Alan Jackson,The Talkin' Song Repair Blues,What I Do,2004,Country,2:58
Alan Jackson,Strong Enough,What I Do,2004,Country,4:01
Alan Jackson,Monday Morning Church,What I Do,2004,Country,3:21
Alan Jackson,Burnin' the Honky Tonks Down,What I Do,2004,Country,4:51
Alan Jackson,To Do What I Do (Live),What I Do,2004,Country,3:00
Alan Jackson,Blessed Assurance,Precious Memories,2006,Country,1:54
Alan Jackson,Softly and Tenderly,Precious Memories,2006,Country,3:16
Alan Jackson,I Love to Tell the Story,Precious Memories,2006,Country,2:51
Alan Jackson,When We All Get to Heaven,Precious Memories,2006,Country,1:42
Alan Jackson,'Tis So Sweet to Trust In Jesus,Precious Memories,2006,Country,1:50
Alan Jackson,In the Garden,Precious Memories,2006,Country,2:53
Alan Jackson,Are You Washed In the Blood?,Precious Memories,2006,Country,1:16
Alan Jackson,I'll Fly Away,Precious Memories,2006,Country,2:11
Alan Jackson,What a Friend We Have In Jesus,Precious Memories,2006,Country,2:14
Alan Jackson,Standing On the Promises,Precious Memories,2006,Country,1:33
Alan Jackson,Turn Your Eyes Upon Jesus,Precious Memories,2006,Country,3:44
Alan Jackson,Leaning On the Everlasting Arms,Precious Memories,2006,Country,1:32
Alan Jackson,The Old Rugged Cross,Precious Memories,2006,Country,3:04
Alan Jackson,How Great Thou Art,Precious Memories,2006,Country,3:30
Alan Jackson,I Want to Stroll Over Heaven With You,Precious Memories,2006,Country,3:06
Alan Jackson,Anywhere On Earth You Are,Like Red On a Rose,2006,Country,4:16
Alan Jackson,Good Imitation of the Blues,Like Red On a Rose,2006,Country,3:24
Alan Jackson,Like Red On a Rose,Like Red On a Rose,2006,Country,3:33
Alan Jackson,Nobody Said That It Would Be Easy,Like Red On a Rose,2006,Country,3:44
Alan Jackson,Don't Change On Me,Like Red On a Rose,2006,Country,3:26
Alan Jackson,The Firefly's Song,Like Red On a Rose,2006,Country,3:57
Alan Jackson,Wait a Minute,Like Red On a Rose,2006,Country,4:22
Alan Jackson,Had It Not Been You,Like Red On a Rose,2006,Country,4:01
Alan Jackson,A Woman's Love,Like Red On a Rose,2006,Country,4:13
Alan Jackson,Don't Ask Why,Like Red On a Rose,2006,Country,3:01
Alan Jackson,As Lovely As You,Like Red On a Rose,2006,Country,4:06
Alan Jackson,Where Do I Go from Here (A Trucker's Song),Like Red On a Rose,2006,Country,4:03
Alan Jackson,Bluebird,Like Red On a Rose,2006,Country,3:25
Alan Jackson,Good Time,Good Time,2008,Country,5:08
Alan Jackson,Small Town Southern Man,Good Time,2008,Country,4:40
Alan Jackson,I Wish I Could Back Up,Good Time,2008,Country,5:05
Alan Jackson,Country Boy,Good Time,2008,Country,4:06
Alan Jackson,Right Where I Want You,Good Time,2008,Country,3:51
Alan Jackson,1976,Good Time,2008,Country,4:09
Alan Jackson,When the Love Factor's High,Good Time,2008,Country,4:18
Alan Jackson,Long Long Way,Good Time,2008,Country,4:08
Alan Jackson,Sissy's Song,Good Time,2008,Country,3:02
Alan Jackson,I Still Like Bologna,Good Time,2008,Country,4:39
Alan Jackson,Never Loved Before (with Martina McBride),Good Time,2008,Country,3:32
Alan Jackson,Nothing Left to Do,Good Time,2008,Country,4:44
Alan Jackson,Listen to Your Senses,Good Time,2008,Country,3:09
Alan Jackson,This Time,Good Time,2008,Country,4:34
Alan Jackson,Laid Back 'n Low Key (Cay),Good Time,2008,Country,2:51
Alan Jackson,If You Want to Make Me Happy,Good Time,2008,Country,4:20
Alan Jackson,If Jesus Walked the World Today,Good Time,2008,Country,4:57
Alan Jackson,I'll Try,,,Country,
Alan Jackson,It's Five O'Clock Somewhere,,,Country,
Alan Jackson,Remember When,,,Country,
Alan Jackson,"Tall, Tall Trees",,,Country,
,,,,,
Al Bano & Romina Power,,,,,0
Al Bano & Romina Power,Che Angelo Sei,Che Angelo Sei,1982,Pop,3:29
Al Bano & Romina Power,Abbandonat,Che Angelo Sei,1982,Pop,3:00
Al Bano & Romina Power,Meditando,Che Angelo Sei,1982,Pop,3:04
Al Bano & Romina Power,Perche,Che Angelo Sei,1982,Pop,3:51
Al Bano & Romina Power,Viaggiando,Che Angelo Sei,1982,Pop,2:54
Al Bano & Romina Power,Tu Soltanto Tu,Che Angelo Sei,1982,Pop,3:38
Al Bano & Romina Power,Parigi E Belta,Che Angelo Sei,1982,Pop,3:15
Al Bano & Romina Power,1961i,Che Angelo Sei,1982,Pop,3:18
Al Bano & Romina Power,Anche Tu,Che Angelo Sei,1982,Pop,3:25
Al Bano & Romina Power,Io Ti Cerco,Che Angelo Sei,1982,Pop,3:35
Al Bano & Romina Power,Aria Pura,Felicita,1983,Pop,3:09
Al Bano & Romina Power,Felicita,Felicita,1983,Pop,3:11
Al Bano & Romina Power,Sharazan,Felicita,1983,Pop,4:40
Al Bano & Romina Power,Il Ballo Del Qua Qua,Felicita,1983,Pop,2:49
Al Bano & Romina Power,Angeli,Felicita,1983,Pop,3:26
Al Bano & Romina Power,E Fu Subito Amore,Felicita,1983,Pop,3:58
Al Bano & Romina Power,Canto Di Liberta,Felicita,1983,Pop,2:57
Al Bano & Romina Power,Arrivederci,Felicita,1983,Pop,3:01
Al Bano & Romina Power,Prima Notte D'Amore,Felicita,1983,Pop,2:55
Al Bano & Romina Power,Caro Gesu,Felicita,1983,Pop,3:50
Al Bano & Romina Power,Al Ritmo Di Beguine (Ti Amo,Effetto Amore,1984,Pop,3:40
Al Bano & Romina Power,L'Amore E,Effetto Amore,1984,Pop,3:54
Al Bano & Romina Power,"Ciao, Aufwiedersehen Goodbye",Effetto Amore,1984,Pop,3:36
Al Bano & Romina Power,Quando Un Amore Se Ne Va,Effetto Amore,1984,Pop,3:14
Al Bano & Romina Power,It's Forever,Effetto Amore,1984,Pop,2:58
Al Bano & Romina Power,Canzone Blu,Effetto Amore,1984,Pop,3:24
Al Bano & Romina Power,Ci Sara,Effetto Amore,1984,Pop,3:23
Al Bano & Romina Power,Grazie,Effetto Amore,1984,Pop,3:31
Al Bano & Romina Power,"Leo, Leo",Effetto Amore,1984,Pop,3:30
Al Bano & Romina Power,Un Isola Nella Citta,Effetto Amore,1984,Pop,3:20
Al Bano & Romina Power,Gli Innamorati,Effetto Amore,1984,Pop,2:50
Al Bano & Romina Power,Magic Oh Magic,Effetto Amore,1984,Pop,3:34
Al Bano & Romina Power,Immagini 77,Effetto Amore,1984,Pop,3:58
Al Bano & Romina Power,Il Covo Delle Aquille,Effetto Amore,1984,Pop,4:08
Al Bano & Romina Power,Sempre Sempre,Sempre Sempre,1986,Pop,4:03
Al Bano & Romina Power,Saranda-Okinawa,Sempre Sempre,1986,Pop,4:08
Al Bano & Romina Power,Mamba di Rambo,Sempre Sempre,1986,Pop,3:08
Al Bano & Romina Power,Settembre,Sempre Sempre,1986,Pop,3:27
Al Bano & Romina Power,Andrea,Sempre Sempre,1986,Pop,5:45
Al Bano & Romina Power,Love,Sempre Sempre,1986,Pop,3:46
Al Bano & Romina Power,C'est facile,Sempre Sempre,1986,Pop,
Al Bano & Romina Power,Verso il Duemila,Sempre Sempre,1986,Pop,4:21
Al Bano & Romina Power,Caro amore,Sempre Sempre,1986,Pop,4:05
Al Bano & Romina Power,Lord Byron,Sempre Sempre,1986,Pop,3:08
Al Bano & Romina Power,Liberta,Libertá,1987,Pop,4:16
Al Bano & Romina Power,Ma il cuore no,Libertá,1987,Pop,4:01
Al Bano & Romina Power,Le mie radici,Libertá,1987,Pop,4:27
Al Bano,Notte a cerano,Libertá,1987,Pop,4:11
Al Bano & Romina Power,Nel mondo,Libertá,1987,Pop,3:54
Al Bano & Romina Power,Makassar,Libertá,1987,Pop,3:51
Al Bano,Incredibile appuntamento,Libertá,1987,Pop,4:47
Al Bano & Romina Power,Quando si ama,Libertá,1987,Pop,3:53
Al Bano & Romina Power,Abbi fede,Libertá,1987,Pop,3:26
Al Bano & Romina Power,I cigni di balaka,Libertá,1987,Pop,4:10
Al Bano & Romina Power,Felicità,Felicità,1989,Pop,3:13
Al Bano & Romina Power,Prima notte d'amore (Enlaces sur le sable),Felicità,1989,Pop,2:53
Al Bano & Romina Power,Sharazan,Felicità,1989,Pop,4:24
Al Bano & Romina Power,L' Amore è,Felicità,1989,Pop,3:58
Al Bano & Romina Power,Meditando,Felicità,1989,Pop,3:11
Al Bano & Romina Power,Canzone blu,Felicità,1989,Pop,3:26
Al Bano & Romina Power,Magic Oh Magic,Felicità,1989,Pop,3:38
Al Bano & Romina Power,Anche tu,Felicità,1989,Pop,3:28
Al Bano & Romina Power,Perché,Felicità,1989,Pop,3:57
Al Bano & Romina Power,Grazie,Felicità,1989,Pop,3:33
Al Bano & Romina Power,Che angelo sei (amore mio),Felicità,1989,Pop,3:39
Al Bano & Romina Power,Angeli,Felicità,1989,Pop,3:29
Al Bano & Romina Power,Tu soltanto tu (mi hai fatto innamorare),Felicità,1989,Pop,3:41
Al Bano & Romina Power,Gli innamorati,Felicità,1989,Pop,2:51
Al Bano & Romina Power,It's Forever,Felicità,1989,Pop,2:58
Al Bano & Romina Power,"Ciao, Aufwiedersehen, Goodbye",Felicità,1989,Pop,3:37
Al Bano & Romina Power,Besame,Fotografia di un momento,1990,Pop,4:30
Al Bano & Romina Power,Donna per amore,Fotografia di un momento,1990,Pop,3:37
Al Bano & Romina Power,Non piangere,Fotografia di un momento,1990,Pop,3:57
Al Bano & Romina Power,Commesso viaggiatore,Fotografia di un momento,1990,Pop,3:35
Al Bano & Romina Power,Bwana,Fotografia di un momento,1990,Pop,4:00
Al Bano & Romina Power,Fotografia,Fotografia di un momento,1990,Pop,4:11
Al Bano,Tenero e testardo,Fotografia di un momento,1990,Pop,3:40
Al Bano & Romina Power,Indian Boy,Fotografia di un momento,1990,Pop,3:45
Al Bano & Romina Power,Bussa ancora,Fotografia di un momento,1990,Pop,3:46
Al Bano & Romina Power,Liberta - Production '90,Fotografia di un momento,1990,Pop,5:13
Al Bano & Romina Power,Vincerai,Vincerai,1992,Pop,5:09
Al Bano & Romina Power,Tu Soltanto Tu,Vincerai,1992,Pop,4:21
Al Bano & Romina Power,We'll Live It All Again,Vincerai,1992,Pop,4:14
Al Bano & Romina Power,Dialogo,Vincerai,1992,Pop,3:17
Al Bano & Romina Power,Ci Sara,Vincerai,1992,Pop,3:43
Al Bano & Romina Power,Makassar,Vincerai,1992,Pop,3:54
Al Bano & Romina Power,"Sempre, Sempre",Vincerai,1992,Pop,4:02
Al Bano & Romina Power,Cara Terra Mia,Vincerai,1992,Pop,4:07
Al Bano & Romina Power,Il Poeta (Yunus Emré),Vincerai,1992,Pop,4:38
Al Bano & Romina Power,Che Angelo Sei,Vincerai,1992,Pop,3:31
Al Bano & Romina Power,Sharazan,Vincerai,1992,Pop,4:31
Al Bano & Romina Power,Prima Notte D'amore,Vincerai,1992,Pop,2:59
Al Bano & Romina Power,Felicita,Vincerai,1992,Pop,3:26
Al Bano & Romina Power,Nel Sole,Vincerai,1992,Pop,3:54
Al Bano & Romina Power,Liberta,Vincerai,1992,Pop,4:27
Al Bano & Romina Power,Nessun Dorma,Vincerai,1992,Pop,3:31
Al Bano & Romina Power,"Domani, Domani",Notte e Giorno,1993,Pop,3:35
Al Bano & Romina Power,Bambini,Notte e Giorno,1993,Pop,3:49
Al Bano & Romina Power,Torneremo a Venezia,Notte e Giorno,1993,Pop,3:49
Al Bano & Romina Power,Sentire Ti Amo,Notte e Giorno,1993,Pop,3:29
Al Bano & Romina Power,Di Piu,Notte e Giorno,1993,Pop,3:23
Al Bano & Romina Power,Il Profumo Delle Rose,Notte e Giorno,1993,Pop,4:06
Al Bano & Romina Power,Sha-e-O,Notte e Giorno,1993,Pop,3:30
Al Bano & Romina Power,Mondo,Notte e Giorno,1993,Pop,4:52
Al Bano & Romina Power,In Controluce,Notte e Giorno,1993,Pop,4:34
Al Bano & Romina Power,Notte e Giorno,Notte e Giorno,1993,Pop,4:39
Al Bano & Romina Power,Tenerissima,Notte e Giorno,1993,Pop,4:27
Al Bano & Romina Power,È Un Miracolo,Notte e Giorno,1993,Pop,4:00
Al Bano & Romina Power,Atto D'Amore,Notte e Giorno,1993,Pop,4:06
Al Bano & Romina Power,Na Na Na (En Espanol),Emozionale,1995,Pop,3:36
Al Bano & Romina Power,Santa Maria,Emozionale,1995,Pop,3:50
Al Bano & Romina Power,"Tu, Perdonami",Emozionale,1995,Pop,4:30
Al Bano & Romina Power,Dammi un Segno,Emozionale,1995,Pop,3:50
Al Bano & Romina Power,Resta Ancora,Emozionale,1995,Pop,3:20
Al Bano & Romina Power,C'e' una Luce,Emozionale,1995,Pop,4:11
Al Bano & Romina Power,Cantico,Emozionale,1995,Pop,3:35
Al Bano & Romina Power,In Mexico,Emozionale,1995,Pop,3:25
Al Bano & Romina Power,Impossibile (En Espanol),Emozionale,1995,Pop,3:45
Al Bano & Romina Power,Everybody Loves,Emozionale,1995,Pop,4:23
Al Bano & Romina Power,E Mi Manchi,Emozionale,1995,Pop,4:45
Al Bano,Un Sasso Nel Cuore,Emozionale,1995,Pop,5:14
Al Bano & Romina Power,Na Na Na (Paco de Lucia Version),Emozionale,1995,Pop,4:33
